time,IDX_POS_X,IDX_POS_Y,IDX_POS_Z,IDX_VEL_X,IDX_VEL_Y,IDX_VEL_Z,IDX_QUAT_W,IDX_QUAT_X,IDX_QUAT_Y,IDX_QUAT_Z,IDX_OMEGA_X,IDX_OMEGA_Y,IDX_OMEGA_Z
2.250000000000001166e-01,1.021993808007601867e+00,2.292524715128019337e-07,1.326987566712821143e-01,2.045916580591914113e-01,4.789756098740768280e-07,8.336698981687036270e-01,9.996889481907679231e-01,5.054071246807145014e-07,2.494006545616525225e-02,1.520241734277019587e-07,-5.835962780929545591e-06,-5.352752090727166401e-01,-8.257923354072134142e-06
2.300000000000001210e-01,1.023016766297897728e+00,2.316473495621723310e-07,1.368671061621256346e-01,2.071211935693925699e-01,4.280995778399512516e-07,8.352848577300064914e-01,9.997214275638914849e-01,4.905098708115387938e-07,2.360227254645512820e-02,1.310732127616447734e-07,-6.190195701628905881e-06,-5.265028710567635217e-01,-7.114253119485781541e-06
2.350000000000001255e-01,1.024052372265744637e+00,2.337878474513720815e-07,1.410435304507756671e-01,2.095013915731333831e-01,3.789456194863081691e-07,8.366157827367728395e-01,9.997516281736015253e-01,4.747910260112033818e-07,2.228636273586781513e-02,1.130120562284775929e-07,-6.489883922859005145e-06,-5.164396050868285126e-01,-6.129017415610449299e-06
2.400000000000001299e-01,1.025099879223610344e+00,2.356825755488036318e-07,1.452266093644595246e-01,2.117366213111573081e-01,3.315787196875243287e-07,8.376763396340669576e-01,9.997795687902754080e-01,4.583743899153599523e-07,2.099556689664323558e-02,9.744182470605049730e-08,-6.737975135411031018e-06,-5.052181153857163709e-01,-5.280265835871703548e-06
2.450000000000001343e-01,1.026158562330166113e+00,2.373404691472412596e-07,1.494149910626298705e-01,2.138313994011372954e-01,2.860497708998256620e-07,8.384795475771515960e-01,9.998052896560583047e-01,4.413787311660380998e-07,1.973278428309889129e-02,8.401872434374777862e-08,-6.937414774392888901e-06,-4.929671585156534808e-01,-4.549087917529776222e-06
2.500000000000001110e-01,1.027227719327171718e+00,2.387707180017404117e-07,1.536073888005156374e-01,2.157903622018356726e-01,2.423967283127470528e-07,8.390378138856880996e-01,9.998288493958900069e-01,4.239173800150441245e-07,1.850059230148300149e-02,7.244643714408435025e-08,-7.091136177814402708e-06,-4.798111874325128867e-01,-3.919192483275126934e-06
2.550000000000001155e-01,1.028306671138180972e+00,2.399827016433041721e-07,1.578025778699440884e-01,2.176182399529589528e-01,2.006456963955106705e-07,8.393629674119200690e-01,9.998503220480674525e-01,4.060979146125683183e-07,1.730125718573851529e-02,6.246956271836288759e-08,-7.202050630621667863e-06,-4.658700383581366733e-01,-3.376545119740784171e-06
2.600000000000001199e-01,1.029394762337945801e+00,2.409859301252817272e-07,1.619993927070036976e-01,2.193198326114397245e-01,1.608119512104709902e-07,8.394662898953446639e-01,9.998697942459473520e-01,3.880219303920521274e-07,1.613674547154213962e-02,5.386796606774885041e-08,-7.273037519871647635e-06,-4.512586605474396828e-01,-2.909055775924842668e-06
2.650000000000001243e-01,1.030491361501002956e+00,2.417899898813340855e-07,1.661967241564804298e-01,2.208999873131766156e-01,1.229009025022846995e-07,8.393585453837378862e-01,9.998873625757688233e-01,3.697848829894137802e-07,1.500873616044301646e-02,4.645190625416099182e-08,-7.306934784537585818e-06,-4.360868885617380508e-01,-2.506309564637648104e-06
2.700000000000001288e-01,1.031595861437568873e+00,2.424044943938454884e-07,1.703935168833991265e-01,2.223635773959459494e-01,8.690899921358876490e-08,8.390500078061934319e-01,9.999031311293590241e-01,3.514759960570567768e-07,1.391863346664219507e-02,4.005783809052061947e-08,-7.306529803372538702e-06,-4.204592562483753238e-01,-2.159334801076782424e-06
2.750000000000001332e-01,1.032707679324548655e+00,2.428390393899134366e-07,1.745887669224300831e-01,2.237154829244787924e-01,5.282458173768568584e-08,8.385504867881399260e-01,9.999172092647380383e-01,3.331782261684793993e-07,1.286758004078318238e-02,3.454479387004427097e-08,-7.274550834608815031e-06,-4.044748512679247066e-01,-1.860403133909401934e-06
2.800000000000001377e-01,1.033826256739170946e+00,2.431031622986018599e-07,1.787815193563707938e-01,2.249605726627749991e-01,2.062868390272734264e-08,8.378693518012271246e-01,9.999297095824145609e-01,3.149682777534127951e-07,1.185647056792459887e-02,2.979126499398226467e-08,-7.213659089529753252e-06,-3.882272087025639418e-01,-1.602857333466361578e-06
2.850000000000001421e-01,1.034951059602484902e+00,2.432063057181154943e-07,1.829708661153769400e-01,2.261036874417902687e-01,-9.704212605105997670e-09,8.370155547426179066e-01,9.999407461204814496e-01,2.969166616814425048e-07,1.088596564049941137e-02,2.569251442634378136e-08,-7.126441503078237429e-06,-3.718042420198747755e-01,-1.380962913486016948e-06
2.900000000000001465e-01,1.036081578039693918e+00,2.431577846550899576e-07,1.871559438890900429e-01,2.271496248728557821e-01,-3.820546892917310104e-08,8.359976510387030491e-01,9.999504327675192705e-01,2.790877917100748933e-07,9.956505811400067837e-03,2.215826044640370334e-08,-7.015404241428765773e-06,-3.552882094529296597e-01,-1.189780290742690238e-06
2.950000000000001510e-01,1.037217326164058262e+00,2.429667573104440865e-07,1.913359321442835714e-01,2.281031253587303131e-01,-6.491162261669194358e-08,8.348238193676965624e-01,9.999588818887777952e-01,2.615401135585384862e-07,9.068325737239129464e-03,1.911068039454580487e-08,-6.882966969851619559e-06,-3.387557136868071805e-01,-1.025054641983204330e-06
3.000000000000001554e-01,1.038357841790851888e+00,2.426421991973606259e-07,1.955100512411220570e-01,2.289688593551820195e-01,-8.986376205298019042e-08,8.335018800940835471e-01,9.999662031581292299e-01,2.443262618593698836e-07,8.221468327204004348e-03,1.648269019623379036e-08,-6.731457892328759728e-06,-3.222777326109507179e-01,-8.831210102546700314e-07
3.050000000000001599e-01,1.039502686087627747e+00,2.421928803870957427e-07,1.996775606415924775e-01,2.297514158365779047e-01,-1.131069398986021382e-07,8.320393125056088079e-01,9.999725025858609007e-01,2.274932406772641533e-07,7.415798818642932444e-03,1.421646155851077407e-08,-6.563109559237997993e-06,-3.059196788022952029e-01,-7.608225508495686909e-07
3.100000000000001643e-01,1.040651443166810575e+00,2.416273456876027428e-07,2.038377572041205343e-01,2.304552919192301430e-01,-1.346896238166292349e-07,8.304432709405316082e-01,9.999778817304518785e-01,2.110826236884887287e-07,6.651018706488277463e-03,1.226214399934192534e-08,-6.380055431009165657e-06,-2.897414853432087045e-01,-6.554400988991781844e-07
3.150000000000001688e-01,1.041803719626406721e+00,2.409538975685196188e-07,2.079899735588232046e-01,2.310848835963070502e-01,-1.546631828991790865e-07,8.287205998893479864e-01,9.999824370810433960e-01,1.951307704776632549e-07,5.926679459751595970e-03,1.057676340810034651e-08,-6.184327179107637387e-06,-2.737977155473592106e-01,-5.646314920243619977e-07
3.200000000000001732e-01,1.042959144044388164e+00,2.401805816540237456e-07,2.121335765582699484e-01,2.316444775380389343e-01,-1.730814083043735447e-07,8.268778481512091272e-01,9.999862595963192602e-01,1.796690557360842109e-07,5.242195964531765062e-03,9.123272746395499393e-09,-5.977852694923055532e-06,-2.581376941629195954e-01,-4.863792979961525509e-07
3.250000000000001776e-01,1.044117366432078420e+00,2.393151746125018774e-07,2.162679657990259907e-01,2.321382439108043982e-01,-1.900000666990875077e-07,8.249212821209502833e-01,9.999894343848990674e-01,1.647241084552876550e-07,4.596859639189767970e-03,7.869733869058587760e-09,-5.762454776504452749e-06,-2.428056576427947144e-01,-4.189457842078789670e-07
